Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Números absolutos,Estupro,CE,2013.00,1675.00
Números absolutos,Estupro,BA,2013.00,3149.00
Números absolutos,Estupro,AP,2013.00,469.00
Números absolutos,Estupro,AM,2013.00,1433.00
Números absolutos,Estupro,AL,2013.00,1275.00
Números absolutos,Estupro,AC,2013.00,400.00
Números absolutos,Estupro,TO,2014.00,425.00
Números absolutos,Estupro,SP,2014.00,10026.00
Números absolutos,Estupro,SE,2014.00,510.00
Números absolutos,Estupro,SC,2014.00,2832.00
Números absolutos,Estupro,RS,2014.00,3176.00
Números absolutos,Estupro,RR,2014.00,278.00
Números absolutos,Estupro,RO,2014.00,778.00
Números absolutos,Estupro,RN,2014.00,323.00
Números absolutos,Estupro,RJ,2014.00,5676.00
Números absolutos,Estupro,PR,2014.00,4298.00
Números absolutos,Estupro,PI,2014.00,481.00
Números absolutos,Estupro,PE,2014.00,2231.00
Números absolutos,Estupro,PB,2014.00,367.00
Números absolutos,Estupro,PA,2014.00,2927.00
Números absolutos,Estupro,MT,2014.00,1300.00
Números absolutos,Estupro,MS,2014.00,1414.00
Números absolutos,Estupro,MG,2014.00,4001.00
Números absolutos,Estupro,MA,2014.00,1019.00
Números absolutos,Estupro,GO,2014.00,605.00
Números absolutos,Estupro,ES,2014.00,238.00
Números absolutos,Estupro,DF,2014.00,777.00
Números absolutos,Estupro,CE,2014.00,1687.00
Números absolutos,Estupro,BA,2014.00,2712.00
Números absolutos,Estupro,AP,2014.00,343.00
Números absolutos,Estupro,AM,2014.00,971.00
Números absolutos,Estupro,AL,2014.00,565.00
Números absolutos,Estupro,AC,2014.00,478.00
Números absolutos,Estupro,TO,2015.00,380.00
Números absolutos,Estupro,SP,2015.00,9265.00
Números absolutos,Estupro,SE,2015.00,443.00
Números absolutos,Estupro,SC,2015.00,2714.00
Números absolutos,Estupro,RS,2015.00,4078.00
Números absolutos,Estupro,RR,2015.00,201.00
Números absolutos,Estupro,RO,2015.00,692.00
Números absolutos,Estupro,RN,2015.00,320.00
Números absolutos,Estupro,RJ,2015.00,4453.00
Números absolutos,Estupro,PR,2015.00,4082.00
Números absolutos,Estupro,PI,2015.00,539.00
Números absolutos,Estupro,PE,2015.00,1939.00
Números absolutos,Estupro,PB,2015.00,289.00
Números absolutos,Estupro,PA,2015.00,2751.00
Números absolutos,Estupro,MT,2015.00,1484.00
Números absolutos,Estupro,MS,2015.00,1429.00
Números absolutos,Estupro,MG,2015.00,3971.00
Números absolutos,Estupro,MA,2015.00,952.00
Números absolutos,Estupro,GO,2015.00,527.00
Números absolutos,Estupro,ES,2015.00,203.00
Números absolutos,Estupro,DF,2015.00,624.00
Números absolutos,Estupro,CE,2015.00,1454.00
Números absolutos,Estupro,BA,2015.00,2549.00
Números absolutos,Estupro,AP,2015.00,324.00
Números absolutos,Estupro,AM,2015.00,726.00
Números absolutos,Estupro,AL,2015.00,548.00
Números absolutos,Estupro,AC,2015.00,524.00
Números absolutos,Estupro,TO,2016.00,385.00
Números absolutos,Estupro,SP,2016.00,10055.00
Números absolutos,Estupro,SE,2016.00,541.00
Números absolutos,Estupro,SC,2016.00,3084.00
Números absolutos,Estupro,RS,2016.00,4144.00
Números absolutos,Estupro,RR,2016.00,234.00
Números absolutos,Estupro,RO,2016.00,790.00
Números absolutos,Estupro,RN,2016.00,206.00
Números absolutos,Estupro,RJ,2016.00,4308.00
Números absolutos,Estupro,PR,2016.00,4164.00
Números absolutos,Estupro,PI,2016.00,653.00
Números absolutos,Estupro,PE,2016.00,1976.00
Números absolutos,Estupro,PB,2016.00,376.00
Números absolutos,Estupro,PA,2016.00,3002.00
Números absolutos,Estupro,MT,2016.00,1614.00
Números absolutos,Estupro,MS,2016.00,1458.00
Números absolutos,Estupro,MG,2016.00,3926.00
Números absolutos,Estupro,MA,2016.00,995.00
Números absolutos,Estupro,GO,2016.00,670.00
Números absolutos,Estupro,ES,2016.00,188.00
Números absolutos,Estupro,DF,2016.00,666.00
Números absolutos,Estupro,CE,2016.00,1538.00
Números absolutos,Estupro,BA,2016.00,2709.00
Números absolutos,Estupro,AP,2016.00,385.00
Números absolutos,Estupro,AM,2016.00,930.00
Números absolutos,Estupro,AL,2016.00,500.00
Números absolutos,Estupro,AC,2016.00,
Números absolutos,Estupro,AC,2017.00,210.00
Números absolutos,Estupro,AL,2017.00,1485.00
Números absolutos,Estupro,AP,2017.00,397.00
Números absolutos,Estupro,AM,2017.00,865.00
Números absolutos,Estupro,BA,2017.00,3270.00
Números absolutos,Estupro,CE,2017.00,1755.00
Números absolutos,Estupro,DF,2017.00,1039.00
Números absolutos,Estupro,ES,2017.00,408.00
Números absolutos,Estupro,GO,2017.00,2495.00
Números absolutos,Estupro,MA,2017.00,1199.00
Números absolutos,Estupro,MT,2017.00,1705.00
Números absolutos,Estupro,MS,2017.00,1792.00
Números absolutos,Estupro,MG,2017.00,5199.00
Números absolutos,Estupro,PA,2017.00,3334.00
Números absolutos,Estupro,PB,2017.00,365.00
Números absolutos,Estupro,PR,2017.00,5966.00
Números absolutos,Estupro,PE,2017.00,2049.00
Números absolutos,Estupro,PI,2017.00,773.00
Números absolutos,Estupro,RJ,2017.00,4952.00
Números absolutos,Estupro,RN,2017.00,213.00
Números absolutos,Estupro,RS,2017.00,4372.00
Números absolutos,Estupro,RO,2017.00,941.00
Números absolutos,Estupro,RR,2017.00,193.00
Números absolutos,Estupro,SC,2017.00,3993.00
Números absolutos,Estupro,SP,2017.00,11089.00
Números absolutos,Estupro,SE,2017.00,389.00
Números absolutos,Estupro,TO,2017.00,584.00
