uf;2002.00;2012.00
AL;51.40;123.60
ES;84.00;91.80
CE;21.50;82.90
BA;32.30;81.80
PB;24.50;75.00
GO;33.20;69.30
SE;45.50;64.50
RN;20.50;64.50
DF;57.20;64.40
PE;99.30;59.50
PA;20.40;58.70
PR;36.50;55.40
RJ;107.70;48.90
AM;13.80;48.30
MT;40.30;44.90
MG;25.70;40.00
RO;43.20;37.90
AP;19.30;37.30
RS;33.60;36.80
MA;7.30;35.30
MS;37.10;27.30
TO;13.50;24.10
PI;9.70;22.60
AC;26.00;22.50
SP;60.50;19.30
SC;13.60;17.80
RR;23.20;12.20
