Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MA,2012.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,GO,2012.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,ES,2012.00,3.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,DF,2012.00,3.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,CE,2012.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,BA,2012.00,3.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AP,2012.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AM,2012.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AL,2012.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AC,2012.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,TO,2013.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SP,2013.00,23.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SE,2013.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SC,2013.00,4.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RS,2013.00,5.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RR,2013.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RO,2013.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RN,2013.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RJ,2013.00,20.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PR,2013.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PI,2013.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PE,2013.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PB,2013.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PA,2013.00,15.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MT,2013.00,3.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MS,2013.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MG,2013.00,5.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MA,2013.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,GO,2013.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,ES,2013.00,3.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,DF,2013.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,CE,2013.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,BA,2013.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AP,2013.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AM,2013.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AL,2013.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AC,2013.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,TO,2014.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SP,2014.00,10.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SE,2014.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SC,2014.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RS,2014.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RR,2014.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RO,2014.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RN,2014.00,4.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RJ,2014.00,18.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PR,2014.00,4.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PI,2014.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PE,2014.00,4.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PB,2014.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PA,2014.00,6.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MT,2014.00,6.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MS,2014.00,8.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MG,2014.00,6.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MA,2014.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,GO,2014.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,ES,2014.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,DF,2014.00,3.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,CE,2014.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,BA,2014.00,3.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AP,2014.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AM,2014.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AL,2014.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AC,2014.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,TO,2015.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SP,2015.00,10.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SE,2015.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SC,2015.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RS,2015.00,5.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RR,2015.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RO,2015.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RN,2015.00,6.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RJ,2015.00,26.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PR,2015.00,4.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PI,2015.00,3.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PE,2015.00,5.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PB,2015.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PA,2015.00,8.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MT,2015.00,3.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MS,2015.00,3.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MG,2015.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MA,2015.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,GO,2015.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,ES,2015.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,DF,2015.00,4.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,CE,2015.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,BA,2015.00,3.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AP,2015.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AM,2015.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AL,2015.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AC,2015.00,
