Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Números absolutos,Furto de veículo,ES,2016.00,3111.00
Números absolutos,Furto de veículo,DF,2016.00,7038.00
Números absolutos,Furto de veículo,CE,2016.00,4927.00
Números absolutos,Furto de veículo,BA,2016.00,5962.00
Números absolutos,Furto de veículo,AP,2016.00,781.00
Números absolutos,Furto de veículo,AM,2016.00,2693.00
Números absolutos,Furto de veículo,AL,2016.00,819.00
Números absolutos,Furto de veículo,AC,2016.00,
Números absolutos,Roubo de veículo,TO,2007.00,
Números absolutos,Roubo de veículo,SP,2007.00,65195.00
Números absolutos,Roubo de veículo,SE,2007.00,
Números absolutos,Roubo de veículo,SC,2007.00,852.00
Números absolutos,Roubo de veículo,RS,2007.00,
Números absolutos,Roubo de veículo,RR,2007.00,
Números absolutos,Roubo de veículo,RO,2007.00,
Números absolutos,Roubo de veículo,RN,2007.00,
Números absolutos,Roubo de veículo,RJ,2007.00,31490.00
Números absolutos,Roubo de veículo,PR,2007.00,
Números absolutos,Roubo de veículo,PI,2007.00,
Números absolutos,Roubo de veículo,PE,2007.00,4946.00
Números absolutos,Roubo de veículo,PB,2007.00,
Números absolutos,Roubo de veículo,PA,2007.00,
Números absolutos,Roubo de veículo,MT,2007.00,1235.00
Números absolutos,Roubo de veículo,MS,2007.00,746.00
Números absolutos,Roubo de veículo,MG,2007.00,1383.00
Números absolutos,Roubo de veículo,MA,2007.00,
Números absolutos,Roubo de veículo,GO,2007.00,1553.00
Números absolutos,Roubo de veículo,ES,2007.00,1650.00
Números absolutos,Roubo de veículo,DF,2007.00,1574.00
Números absolutos,Roubo de veículo,CE,2007.00,
Números absolutos,Roubo de veículo,BA,2007.00,
Números absolutos,Roubo de veículo,AP,2007.00,
Números absolutos,Roubo de veículo,AM,2007.00,
Números absolutos,Roubo de veículo,AL,2007.00,
Números absolutos,Roubo de veículo,AC,2007.00,
Números absolutos,Roubo de veículo,TO,2008.00,84.00
Números absolutos,Roubo de veículo,SP,2008.00,60895.00
Números absolutos,Roubo de veículo,SE,2008.00,469.00
Números absolutos,Roubo de veículo,SC,2008.00,1178.00
Números absolutos,Roubo de veículo,RS,2008.00,14207.00
Números absolutos,Roubo de veículo,RR,2008.00,35.00
Números absolutos,Roubo de veículo,RO,2008.00,531.00
Números absolutos,Roubo de veículo,RN,2008.00,1314.00
Números absolutos,Roubo de veículo,RJ,2008.00,27847.00
Números absolutos,Roubo de veículo,PR,2008.00,6972.00
Números absolutos,Roubo de veículo,PI,2008.00,375.00
Números absolutos,Roubo de veículo,PE,2008.00,6129.00
Números absolutos,Roubo de veículo,PB,2008.00,465.00
Números absolutos,Roubo de veículo,PA,2008.00,2570.00
Números absolutos,Roubo de veículo,MT,2008.00,1224.00
Números absolutos,Roubo de veículo,MS,2008.00,744.00
Números absolutos,Roubo de veículo,MG,2008.00,338.00
Números absolutos,Roubo de veículo,MA,2008.00,882.00
Números absolutos,Roubo de veículo,GO,2008.00,2114.00
Números absolutos,Roubo de veículo,ES,2008.00,1640.00
Números absolutos,Roubo de veículo,DF,2008.00,2136.00
Números absolutos,Roubo de veículo,CE,2008.00,2782.00
Números absolutos,Roubo de veículo,BA,2008.00,7897.00
Números absolutos,Roubo de veículo,AP,2008.00,0.00
Números absolutos,Roubo de veículo,AM,2008.00,2416.00
Números absolutos,Roubo de veículo,AL,2008.00,697.00
Números absolutos,Roubo de veículo,AC,2008.00,172.00
Números absolutos,Roubo de veículo,TO,2009.00,125.00
Números absolutos,Roubo de veículo,SP,2009.00,71844.00
Números absolutos,Roubo de veículo,SE,2009.00,550.00
Números absolutos,Roubo de veículo,SC,2009.00,908.00
Números absolutos,Roubo de veículo,RS,2009.00,12755.00
Números absolutos,Roubo de veículo,RR,2009.00,48.00
Números absolutos,Roubo de veículo,RO,2009.00,656.00
Números absolutos,Roubo de veículo,RN,2009.00,1318.00
Números absolutos,Roubo de veículo,RJ,2009.00,25036.00
Números absolutos,Roubo de veículo,PR,2009.00,7121.00
Números absolutos,Roubo de veículo,PI,2009.00,349.00
Números absolutos,Roubo de veículo,PE,2009.00,5647.00
Números absolutos,Roubo de veículo,PB,2009.00,317.00
Números absolutos,Roubo de veículo,PA,2009.00,3024.00
Números absolutos,Roubo de veículo,MT,2009.00,1898.00
Números absolutos,Roubo de veículo,MS,2009.00,461.00
Números absolutos,Roubo de veículo,MG,2009.00,1960.00
Números absolutos,Roubo de veículo,MA,2009.00,525.00
Números absolutos,Roubo de veículo,GO,2009.00,3169.00
Números absolutos,Roubo de veículo,ES,2009.00,847.00
Números absolutos,Roubo de veículo,DF,2009.00,2956.00
Números absolutos,Roubo de veículo,CE,2009.00,3082.00
Números absolutos,Roubo de veículo,BA,2009.00,8698.00
Números absolutos,Roubo de veículo,AP,2009.00,
Números absolutos,Roubo de veículo,AM,2009.00,1903.00
Números absolutos,Roubo de veículo,AL,2009.00,1207.00
Números absolutos,Roubo de veículo,AC,2009.00,162.00
Números absolutos,Roubo de veículo,TO,2010.00,144.00
Números absolutos,Roubo de veículo,SP,2010.00,68582.00
Números absolutos,Roubo de veículo,SE,2010.00,549.00
Números absolutos,Roubo de veículo,SC,2010.00,1802.00
Números absolutos,Roubo de veículo,RS,2010.00,10550.00
Números absolutos,Roubo de veículo,RR,2010.00,57.00
Números absolutos,Roubo de veículo,RO,2010.00,634.00
Números absolutos,Roubo de veículo,RN,2010.00,1847.00
Números absolutos,Roubo de veículo,RJ,2010.00,20052.00
Números absolutos,Roubo de veículo,PR,2010.00,6964.00
Números absolutos,Roubo de veículo,PI,2010.00,534.00
Números absolutos,Roubo de veículo,PE,2010.00,5483.00
Números absolutos,Roubo de veículo,PB,2010.00,331.00
Números absolutos,Roubo de veículo,PA,2010.00,3074.00
Números absolutos,Roubo de veículo,MT,2010.00,2031.00
Números absolutos,Roubo de veículo,MS,2010.00,442.00
Números absolutos,Roubo de veículo,MG,2010.00,3486.00
Números absolutos,Roubo de veículo,MA,2010.00,425.00
Números absolutos,Roubo de veículo,GO,2010.00,1992.00
Números absolutos,Roubo de veículo,ES,2010.00,2141.00
Números absolutos,Roubo de veículo,DF,2010.00,2854.00
Números absolutos,Roubo de veículo,CE,2010.00,4016.00
Números absolutos,Roubo de veículo,BA,2010.00,8372.00
Números absolutos,Roubo de veículo,AP,2010.00,0.00
Números absolutos,Roubo de veículo,AM,2010.00,3925.00
Números absolutos,Roubo de veículo,AL,2010.00,1262.00
Números absolutos,Roubo de veículo,AC,2010.00,133.00
Números absolutos,Roubo de veículo,TO,2011.00,118.00
Números absolutos,Roubo de veículo,SP,2011.00,79190.00
Números absolutos,Roubo de veículo,SE,2011.00,845.00
