Measure Names,UF,Year of Ano (data),Measure Values
Taxa / 100 mil habitantes,MS,2009.00,18.025814434
Taxa / 100 mil habitantes,MG,2009.00,10.006230105
Taxa / 100 mil habitantes,MA,2009.00,19.485607514
Taxa / 100 mil habitantes,GO,2009.00,25.968378670
Taxa / 100 mil habitantes,ES,2009.00,21.545609671
Taxa / 100 mil habitantes,DF,2009.00,31.950465761
Taxa / 100 mil habitantes,CE,2009.00,28.046114783
Taxa / 100 mil habitantes,BA,2009.00,33.622418400
Taxa / 100 mil habitantes,AP,2009.00,14.342058085
Taxa / 100 mil habitantes,AM,2009.00,23.935790968
Taxa / 100 mil habitantes,AL,2009.00,48.287614508
Taxa / 100 mil habitantes,AC,2009.00,27.772686119
Taxa / 100 mil habitantes,Brasil,2009.00,23.001491718
Números absolutos,TO,2009.00,262.00
Números absolutos,SP,2009.00,4862.00
Números absolutos,SE,2009.00,593.00
Números absolutos,SC,2009.00,883.00
Números absolutos,RS,2009.00,1813.00
Números absolutos,RR,2009.00,59.00
Números absolutos,RO,2009.00,520.00
Números absolutos,RN,2009.00,702.00
Números absolutos,RJ,2009.00,5555.00
Números absolutos,PR,2009.00,3271.00
Números absolutos,PI,2009.00,276.00
Números absolutos,PE,2009.00,3875.00
Números absolutos,PB,2009.00,1209.00
Números absolutos,PA,2009.00,2866.00
Números absolutos,MT,2009.00,885.00
Números absolutos,MS,2009.00,442.00
Números absolutos,MG,2009.00,1998.00
Números absolutos,MA,2009.00,1273.00
Números absolutos,GO,2009.00,1573.00
Números absolutos,ES,2009.00,786.00
Números absolutos,DF,2009.00,812.00
Números absolutos,CE,2009.00,2382.00
Números absolutos,BA,2009.00,4931.00
Números absolutos,AP,2009.00,96.00
Números absolutos,AM,2009.00,846.00
Números absolutos,AL,2009.00,1548.00
Números absolutos,AC,2009.00,200.00
Números absolutos,Brasil,2009.00,44518.00
Taxa / 100 mil habitantes,TO,2010.00,18.532872948
Taxa / 100 mil habitantes,SP,2010.00,10.765724006
Taxa / 100 mil habitantes,SE,2010.00,30.989805910
Taxa / 100 mil habitantes,SC,2010.00,10.123723553
Taxa / 100 mil habitantes,RS,2010.00,16.462429089
Taxa / 100 mil habitantes,RR,2010.00,18.016922883
Taxa / 100 mil habitantes,RO,2010.00,34.986684621
Taxa / 100 mil habitantes,RN,2010.00,29.191517490
Taxa / 100 mil habitantes,RJ,2010.00,28.654960064
Taxa / 100 mil habitantes,PR,2010.00,33.507438418
Taxa / 100 mil habitantes,PI,2010.00,7.699782306
Taxa / 100 mil habitantes,PE,2010.00,37.760172933
Taxa / 100 mil habitantes,PB,2010.00,38.227530787
Taxa / 100 mil habitantes,PA,2010.00,47.183026679
Taxa / 100 mil habitantes,MT,2010.00,31.121406937
Taxa / 100 mil habitantes,MS,2010.00,18.944139725
Taxa / 100 mil habitantes,MG,2010.00,
Taxa / 100 mil habitantes,MA,2010.00,16.172310823
Taxa / 100 mil habitantes,GO,2010.00,16.554930364
Taxa / 100 mil habitantes,ES,2010.00,44.979461723
Taxa / 100 mil habitantes,DF,2010.00,32.819973606
Taxa / 100 mil habitantes,CE,2010.00,32.147838516
Taxa / 100 mil habitantes,BA,2010.00,32.698388279
Taxa / 100 mil habitantes,AP,2010.00,4.371973319
Taxa / 100 mil habitantes,AM,2010.00,27.246255374
Taxa / 100 mil habitantes,AL,2010.00,67.546744327
Taxa / 100 mil habitantes,AC,2010.00,
Taxa / 100 mil habitantes,Brasil,2010.00,22.134264766
Números absolutos,TO,2010.00,263.00
Números absolutos,SP,2010.00,4574.00
Números absolutos,SE,2010.00,657.00
Números absolutos,SC,2010.00,643.00
Números absolutos,RS,2010.00,1814.00
Números absolutos,RR,2010.00,83.00
Números absolutos,RO,2010.00,582.00
Números absolutos,RN,2010.00,953.00
Números absolutos,RJ,2010.00,4606.00
Números absolutos,PR,2010.00,3595.00
Números absolutos,PI,2010.00,242.00
Números absolutos,PE,2010.00,3393.00
Números absolutos,PB,2010.00,1460.00
Números absolutos,PA,2010.00,3604.00
Números absolutos,MT,2010.00,949.00
Números absolutos,MS,2010.00,471.00
Números absolutos,MG,2010.00,
Números absolutos,MA,2010.00,1068.00
Números absolutos,GO,2010.00,1019.00
Números absolutos,ES,2010.00,1663.00
Números absolutos,DF,2010.00,854.00
Números absolutos,CE,2010.00,2755.00
Números absolutos,BA,2010.00,4829.00
Números absolutos,AP,2010.00,30.00
Números absolutos,AM,2010.00,982.00
Números absolutos,AL,2010.00,2183.00
Números absolutos,AC,2010.00,
Números absolutos,Brasil,2010.00,43272.00
Taxa / 100 mil habitantes,TO,2011.00,19.245800837
Taxa / 100 mil habitantes,SP,2011.00,10.513381793
Taxa / 100 mil habitantes,SE,2011.00,32.992457868
Taxa / 100 mil habitantes,SC,2011.00,13.589382535
Taxa / 100 mil habitantes,RS,2011.00,16.983049742
Taxa / 100 mil habitantes,RR,2011.00,12.767505846
Taxa / 100 mil habitantes,RO,2011.00,24.618896516
Taxa / 100 mil habitantes,RN,2011.00,32.343436417
Taxa / 100 mil habitantes,RJ,2011.00,25.742643425
Taxa / 100 mil habitantes,PR,2011.00,30.756659099
Taxa / 100 mil habitantes,PI,2011.00,11.051298290
Taxa / 100 mil habitantes,PE,2011.00,37.274458080
Taxa / 100 mil habitantes,PB,2011.00,43.275298916
Taxa / 100 mil habitantes,PA,2011.00,15.363790963
Taxa / 100 mil habitantes,MT,2011.00,32.799631093
Taxa / 100 mil habitantes,MS,2011.00,18.212081474
Taxa / 100 mil habitantes,MG,2011.00,18.625749803
Taxa / 100 mil habitantes,MA,2011.00,23.160025885
Taxa / 100 mil habitantes,GO,2011.00,16.782759418
Taxa / 100 mil habitantes,ES,2011.00,39.593365722
Taxa / 100 mil habitantes,DF,2011.00,28.561305848
Taxa / 100 mil habitantes,CE,2011.00,31.957864678
Taxa / 100 mil habitantes,BA,2011.00,38.774591072
Taxa / 100 mil habitantes,AP,2011.00,3.273378326
Taxa / 100 mil habitantes,AM,2011.00,29.839620209
Taxa / 100 mil habitantes,AL,2011.00,73.673093536
Taxa / 100 mil habitantes,AC,2011.00,19.769815232
Taxa / 100 mil habitantes,Brasil,2011.00,24.359030591
Números absolutos,TO,2011.00,277.00
Números absolutos,SP,2011.00,4509.00
Números absolutos,SE,2011.00,708.00
Números absolutos,SC,2011.00,876.00
Números absolutos,RS,2011.00,1880.00
Números absolutos,RR,2011.00,60.00
Números absolutos,RO,2011.00,415.00
Números absolutos,RN,2011.00,1068.00
Números absolutos,RJ,2011.00,4164.00
Números absolutos,PR,2011.00,3328.00
Números absolutos,PI,2011.00,349.00
Números absolutos,PE,2011.00,3378.00
Números absolutos,PB,2011.00,1667.00
Números absolutos,PA,2011.00,1191.00
Números absolutos,MT,2011.00,1015.00
Números absolutos,MS,2011.00,459.00
Números absolutos,MG,2011.00,3780.00
Números absolutos,MA,2011.00,1545.00
Números absolutos,GO,2011.00,1049.00
Números absolutos,ES,2011.00,1483.00
Números absolutos,DF,2011.00,761.00
Números absolutos,CE,2011.00,2762.00
Números absolutos,BA,2011.00,5764.00
Números absolutos,AP,2011.00,23.00
Números absolutos,AM,2011.00,1096.00
Números absolutos,AL,2011.00,2399.00
Números absolutos,AC,2011.00,148.00
Números absolutos,Brasil,2011.00,48084.00
Taxa / 100 mil habitantes,TO,2012.00,21.522106425
Taxa / 100 mil habitantes,SP,2012.00,12.830004086
Taxa / 100 mil habitantes,SE,2012.00,38.919699678
Taxa / 100 mil habitantes,SC,2012.00,12.858155434
Taxa / 100 mil habitantes,RS,2012.00,19.985139762
Taxa / 100 mil habitantes,RR,2012.00,15.029024804
Taxa / 100 mil habitantes,RO,2012.00,29.637925298
Taxa / 100 mil habitantes,RN,2012.00,11.622024215
Taxa / 100 mil habitantes,RJ,2012.00,26.059998584
Taxa / 100 mil habitantes,PR,2012.00,30.118124273
Taxa / 100 mil habitantes,PI,2012.00,16.680035920
Taxa / 100 mil habitantes,PE,2012.00,36.347927484
Taxa / 100 mil habitantes,PB,2012.00,39.651662718
Taxa / 100 mil habitantes,PA,2012.00,41.488957540
Taxa / 100 mil habitantes,MT,2012.00,33.356463030
Taxa / 100 mil habitantes,MS,2012.00,24.039496815
Taxa / 100 mil habitantes,MG,2012.00,20.174266537
Taxa / 100 mil habitantes,MA,2012.00,24.560637080
Taxa / 100 mil habitantes,GO,2012.00,39.822573566
Taxa / 100 mil habitantes,ES,2012.00,45.321832468
Taxa / 100 mil habitantes,DF,2012.00,31.938712874
Taxa / 100 mil habitantes,CE,2012.00,42.858390666
Taxa / 100 mil habitantes,BA,2012.00,41.351386027
Taxa / 100 mil habitantes,AP,2012.00,24.064342209
Taxa / 100 mil habitantes,AM,2012.00,30.794102929
Taxa / 100 mil habitantes,AL,2012.00,65.410520390
Taxa / 100 mil habitantes,AC,2012.00,24.782627509
Taxa / 100 mil habitantes,Brasil,2012.00,26.627858072
Números absolutos,TO,2012.00,314.00
Números absolutos,SP,2012.00,5553.00
Números absolutos,SE,2012.00,845.00
Números absolutos,SC,2012.00,841.00
Números absolutos,RS,2012.00,2222.00
Números absolutos,RR,2012.00,72.00
Números absolutos,RO,2012.00,506.00
Números absolutos,RN,2012.00,388.00
Números absolutos,RJ,2012.00,4241.00
Números absolutos,PR,2012.00,3286.00
Números absolutos,PI,2012.00,529.00
Números absolutos,PE,2012.00,3321.00
Números absolutos,PB,2012.00,1540.00
Números absolutos,PA,2012.00,3262.00
Números absolutos,MT,2012.00,1047.00
Números absolutos,MS,2012.00,614.00
Números absolutos,MG,2012.00,4125.00
Números absolutos,MA,2012.00,1654.00
Números absolutos,GO,2012.00,2526.00
Números absolutos,ES,2012.00,1719.00
Números absolutos,DF,2012.00,871.00
Números absolutos,CE,2012.00,3734.00
Números absolutos,BA,2012.00,6185.00
Números absolutos,AP,2012.00,173.00
Números absolutos,AM,2012.00,1152.00
Números absolutos,AL,2012.00,2145.00
Números absolutos,AC,2012.00,189.00
Números absolutos,Brasil,2012.00,53054.00
Taxa / 100 mil habitantes,TO,2013.00,21.513174452
Taxa / 100 mil habitantes,SP,2013.00,11.723705582
Taxa / 100 mil habitantes,SE,2013.00,42.037435634
Taxa / 100 mil habitantes,SC,2013.00,11.727015577
Taxa / 100 mil habitantes,RS,2013.00,18.299822027
Taxa / 100 mil habitantes,RR,2013.00,21.922994968
Taxa / 100 mil habitantes,RO,2013.00,27.947927745
Taxa / 100 mil habitantes,RN,2013.00,48.133364988
Taxa / 100 mil habitantes,RJ,2013.00,30.129794536
Taxa / 100 mil habitantes,PR,2013.00,24.587484479
Taxa / 100 mil habitantes,PI,2013.00,17.308516293
Taxa / 100 mil habitantes,PE,2013.00,33.631787849
Taxa / 100 mil habitantes,PB,2013.00,39.265066277
Taxa / 100 mil habitantes,PA,2013.00,42.461065436
Taxa / 100 mil habitantes,MT,2013.00,35.510995367
Taxa / 100 mil habitantes,MS,2013.00,22.340158677
Taxa / 100 mil habitantes,MG,2013.00,20.589164777
Taxa / 100 mil habitantes,MA,2013.00,25.859908179
Taxa / 100 mil habitantes,GO,2013.00,42.244011857
Taxa / 100 mil habitantes,ES,2013.00,42.116328581
Taxa / 100 mil habitantes,DF,2013.00,26.633105847
Taxa / 100 mil habitantes,CE,2013.00,50.015160596
Taxa / 100 mil habitantes,BA,2013.00,37.974926711
Taxa / 100 mil habitantes,AP,2013.00,32.789294091
Taxa / 100 mil habitantes,AM,2013.00,25.683305930
Taxa / 100 mil habitantes,AL,2013.00,67.920149897
Taxa / 100 mil habitantes,AC,2013.00,27.689664543
Taxa / 100 mil habitantes,Brasil,2013.00,26.942381129
Números absolutos,TO,2013.00,318.00
Números absolutos,SP,2013.00,5119.00
Números absolutos,SE,2013.00,923.00
Números absolutos,SC,2013.00,778.00
Números absolutos,RS,2013.00,2043.00
Números absolutos,RR,2013.00,107.00
Números absolutos,RO,2013.00,483.00
Números absolutos,RN,2013.00,1624.00
Números absolutos,RJ,2013.00,4932.00
Números absolutos,PR,2013.00,2704.00
Números absolutos,PI,2013.00,551.00
Números absolutos,PE,2013.00,3097.00
Números absolutos,PB,2013.00,1537.00
Números absolutos,PA,2013.00,3384.00
Números absolutos,MT,2013.00,1130.00
Números absolutos,MS,2013.00,578.00
Números absolutos,MG,2013.00,4240.00
Números absolutos,MA,2013.00,1757.00
Números absolutos,GO,2013.00,2718.00
Números absolutos,ES,2013.00,1617.00
Números absolutos,DF,2013.00,743.00
Números absolutos,CE,2013.00,4391.00
Números absolutos,BA,2013.00,5713.00
Números absolutos,AP,2013.00,241.00
Números absolutos,AM,2013.00,978.00
Números absolutos,AL,2013.00,2242.00
Números absolutos,AC,2013.00,215.00
Números absolutos,Brasil,2013.00,54163.00
