Measure Names,UF,Year of Ano (data),Measure Values
Taxa / 100 mil habitantes,AC,2017.00,63.88
Taxa / 100 mil habitantes,AP,2017.00,47.26
Taxa / 100 mil habitantes,AM,2017.00,30.32
Taxa / 100 mil habitantes,BA,2017.00,40.71
Taxa / 100 mil habitantes,DF,2017.00,17.93
Taxa / 100 mil habitantes,MG,2017.00,19.57
Taxa / 100 mil habitantes,PR,2017.00,20.23
Taxa / 100 mil habitantes,RS,2017.00,26.69
Taxa / 100 mil habitantes,SP,2017.00,8.63
Taxa / 100 mil habitantes,MS,2017.00,20.82
Taxa / 100 mil habitantes,RO,2017.00,28.13
Taxa / 100 mil habitantes,SE,2017.00,51.79
Taxa / 100 mil habitantes,RR,2017.00,42.86
Taxa / 100 mil habitantes,TO,2017.00,23.61
Números absolutos,AL,2017.00,1780.00
Números absolutos,CE,2017.00,5171.00
Números absolutos,ES,2017.00,1460.00
Números absolutos,GO,2017.00,2400.00
Números absolutos,MA,2017.00,1945.00
Números absolutos,MT,2017.00,1053.00
Números absolutos,PA,2017.00,4077.00
Números absolutos,PB,2017.00,1286.00
Números absolutos,PE,2017.00,5426.00
Números absolutos,PI,2017.00,651.00
Números absolutos,RJ,2017.00,5622.00
Números absolutos,RN,2017.00,2247.00
Números absolutos,SC,2017.00,1081.00
Números absolutos,AC,2017.00,530.00
Números absolutos,AP,2017.00,377.00
Números absolutos,AM,2017.00,1232.00
Números absolutos,BA,2017.00,6247.00
Números absolutos,DF,2017.00,545.00
Números absolutos,MG,2017.00,4134.00
Números absolutos,PR,2017.00,2290.00
Números absolutos,RS,2017.00,3022.00
Números absolutos,SP,2017.00,3891.00
Números absolutos,MS,2017.00,565.00
Números absolutos,RO,2017.00,508.00
Números absolutos,SE,2017.00,1185.00
Números absolutos,RR,2017.00,224.00
Números absolutos,TO,2017.00,366.00
