uf,variável,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Taxa de CVLI por 100 mil habitantes,SP,12.362197289,11.264859585,11.555358915,10.765724006,10.513381793,12.830004086,11.723705582,11.213729784,9.829607227,9.09,8.63
Taxa de CVLI por 100 mil habitantes,PR,26.499079858,27.987534068,30.753854927,33.507438418,30.756659099,30.118124273,24.587484479,24.238175903,23.237443494,23.79,20.23
Taxa de CVLI por 100 mil habitantes,MS,25.18807093,24.324659744,18.025814434,18.944139725,18.212081474,24.039496815,22.340158677,24.659716902,22.55552601,23.19,20.82
Taxa de CVLI por 100 mil habitantes,MG,14.75420885,11.003179808,10.006230105,NA,18.625749803,20.174266537,20.589164777,21.322365763,20.791504148,20.81,19.57
Taxa de CVLI por 100 mil habitantes,DF,25.734599283,29.150422218,31.950465761,32.819973606,28.561305848,31.938712874,26.633105847,26.889900756,23.39759094,21.9,17.93
