uf,variável,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Taxa de CVLI por 100 mil habitantes,RR,12.10975161,9.079910018,13.082939182,18.016922883,12.767505846,15.029024804,21.922994968,15.293719916,17.007307209,40.25,42.86
Taxa de CVLI por 100 mil habitantes,RN,25.96492923,30.499944931,21.758947437,29.19151749,32.343436417,11.622024215,48.133364988,49.669797067,46.133621911,55.11,64.07
Taxa de CVLI por 100 mil habitantes,PA,34.583109406,42.850301553,38.103311292,47.183026679,15.363790963,41.48895754,42.461065436,42.841621992,43.77921137,47.46,48.73
Taxa de CVLI por 100 mil habitantes,GO,23.023458308,26.085817977,25.96837867,16.554930364,16.782759418,39.822573566,42.244011857,42.479008073,42.552348238,41.67,35.4
Taxa de CVLI por 100 mil habitantes,AP,20.975668225,31.596206615,14.342058085,4.371973319,3.273378326,24.064342209,32.789294091,33.159677832,35.608122826,43.46,47.26
Taxa de CVLI por 100 mil habitantes,AC,24.891569717,25.083789778,27.772686119,NA,19.769815232,24.782627509,27.689664543,25.819483838,25.2640592,45.06,63.88
